 (314.298326253891+0.000000000000j)  (5.759742694927-0.000000000000j)
 (315.104561567307+0.000000000000j)  (5.759742694927-0.000000000000j)
 (316.037850379944+0.000000000000j)  (5.759742694927+0.000000000000j)
 (316.847001552582+0.000000000000j)  (5.759742694927-0.000000000000j)
 (317.666238784790+0.000000000000j)  (5.759742694927-0.000000000000j)
 (318.463638305664+0.000000000000j)  (5.759742694927+0.000000000000j)
 (319.259768724442+0.000000000000j)  (5.759742694927-0.000000000000j)
 (320.061191558838+0.000000000000j)  (5.759742694927+0.000000000000j)
 (320.986230850220+0.000000000000j)  (5.759742694927+0.000000000000j)
 (321.780107498169+0.000000000000j)  (5.759742694927+0.000000000000j)
 (322.596440553665+0.000000000000j)  (5.759742694927-0.000000000000j)
 (323.400908231735+0.000000000000j)  (5.759742694927+0.000000000000j)
 (324.206339120865+0.000000000000j)  (5.759742694927-0.000000000000j)
 (325.003965139389+0.000000000000j)  (5.759742694927+0.000000000000j)
 (325.928990364075+0.000000000000j)  (5.759742694927+0.000000000000j)
 (326.750571250916+0.000000000000j)  (5.759742694927+0.000000000000j)
 (327.576277494431+0.000000000000j)  (5.759742694927-0.000000000000j)
 (328.379226446152+0.000000000000j)  (5.759742694927+0.000000000000j)
 (329.181952714920+0.000000000000j)  (5.759742694927+0.000000000000j)
 (330.003507614136+0.000000000000j)  (5.759742694927-0.000000000000j)
 (330.935220956802+0.000000000000j)  (5.759742694927+0.000000000000j)
 (331.750938892365+0.000000000000j)  (5.759742694927+0.000000000000j)
 (332.550588369370+0.000000000000j)  (5.759742694927-0.000000000000j)
 (333.349295139313+0.000000000000j)  (5.759742694927+0.000000000000j)
 (334.156764268875+0.000000000000j)  (5.759742694926-0.000000000000j)
 (334.966545104980+0.000000000000j)  (5.759742694927-0.000000000000j)
 (335.899343490601+0.000000000000j)  (5.759742694927-0.000000000000j)
 (336.697490453720+0.000000000000j)  (5.759742694927+0.000000000000j)
 (337.498183965683+0.000000000000j)  (5.759742694927+0.000000000000j)
 (338.293894767761+0.000000000000j)  (5.759742694927+0.000000000000j)
 (339.089538097382+0.000000000000j)  (5.759742694927+0.000000000000j)
 (339.908298969269+0.000000000000j)  (5.759742694927-0.000000000000j)
 (340.827070474625+0.000000000000j)  (5.759742694927+0.000000000000j)
 (341.636936903000+0.000000000000j)  (5.759742694927-0.000000000000j)
 (342.459655046463+0.000000000000j)  (5.759742694927+0.000000000000j)
 (343.258303642273+0.000000000000j)  (5.759742694927+0.000000000000j)
 (344.054013490677+0.000000000000j)  (5.759742694927-0.000000000000j)
 (344.850306034088+0.000000000000j)  (5.759742694927-0.000000000000j)
 (345.768637180328+0.000000000000j)  (5.759742694927-0.000000000000j)
 (346.582529783249+0.000000000000j)  (5.759742694927+0.000000000000j)
 (347.376899242401+0.000000000000j)  (5.759742694927+0.000000000000j)
 (348.188740730286+0.000000000000j)  (5.759742694927+0.000000000000j)
 (348.984873294830+0.000000000000j)  (5.759742694927-0.000000000000j)
 (349.782773733139+0.000000000000j)  (5.759742694927+0.000000000000j)
 (350.686880588531+0.000000000000j)  (5.759742694927+0.000000000000j)
 (351.520198822021+0.000000000000j)  (5.759742694926-0.000000000000j)
 (352.343338012695+0.000000000000j)  (5.759742694927+0.000000000000j)
 (353.144279956818+0.000000000000j)  (5.759742694927-0.000000000000j)
 (353.958704233170+0.000000000000j)  (5.759742694927-0.000000000000j)
 (354.762738227844+0.000000000000j)  (5.759742694927+0.000000000000j)
 (355.664753198624+0.000000000000j)  (5.759742694927+0.000000000000j)
 (356.506250619888+0.000000000000j)  (5.759742694926+0.000000000000j)
 (357.319782257080+0.000000000000j)  (5.759742694926+0.000000000000j)
 (358.118820428848+0.000000000000j)  (5.759742694927-0.000000000000j)
 (358.931408405304+0.000000000000j)  (5.759742694927-0.000000000000j)
 (359.739961385727+0.000000000000j)  (5.759742694926+0.000000000000j)
 (360.637065649033+0.000000000000j)  (5.759742694927+0.000000000000j)
 (361.469401121140+0.000000000000j)  (5.759742694927-0.000000000000j)
 (362.268579721451+0.000000000000j)  (5.759742694927+0.000000000000j)
 (363.069634199142+0.000000000000j)  (5.759742694927-0.000000000000j)
 (363.883218288422+0.000000000000j)  (5.759742694927-0.000000000000j)
 (364.679088115692+0.000000000000j)  (5.759742694927+0.000000000000j)
 (365.544658184052+0.000000000000j)  (5.759742694927+0.000000000000j)
 (366.408797740936+0.000000000000j)  (5.759742694927-0.000000000000j)
 (367.211812019348+0.000000000000j)  (5.759742694927+0.000000000000j)
 (368.017818927765+0.000000000000j)  (5.759742694927-0.000000000000j)
 (368.810182571411+0.000000000000j)  (5.759742694927-0.000000000000j)
 (369.606429100037+0.000000000000j)  (5.759742694927-0.000000000000j)
 (370.465187549591+0.000000000000j)  (5.759742694927-0.000000000000j)
 (371.341748714447+0.000000000000j)  (5.759742694927+0.000000000000j)
 (372.149194002151+0.000000000000j)  (5.759742694927+0.000000000000j)
 (372.964080810547+0.000000000000j)  (5.759742694927+0.000000000000j)
 (373.760604858398+0.000000000000j)  (5.759742694927+0.000000000000j)
 (374.554991245270+0.000000000000j)  (5.759742694927-0.000000000000j)
